RK2_Ek	RK2_Ep	RK2_Et	RK4_Ek	RK4_Ep	RK4_Et
23,16	102,84	126,00	22,58	102,33	124,91
16,29	109,82	126,11	15,82	109,22	125,04
10,67	115,55	126,21	10,29	114,86	125,15
6,26	120,03	126,29	5,97	119,26	125,23
3,04	123,31	126,35	2,84	122,45	125,29
0,99	125,40	126,39	0,87	124,46	125,33
0,06	126,35	126,41	0,03	125,32	125,35
0,25	126,15	126,40	0,32	125,02	125,34
1,57	124,81	126,38	1,75	123,57	125,32
4,02	122,31	126,33	4,32	120,95	125,27
7,64	118,62	126,26	8,06	117,13	125,19
12,46	113,71	126,17	13,00	112,10	125,10
18,51	107,55	126,06	19,17	105,81	124,98
25,78	100,15	125,93	26,56	98,28	124,84
34,27	91,52	125,79	35,13	89,54	124,67
43,89	81,74	125,64	44,80	79,69	124,49
54,49	70,99	125,48	55,39	68,89	124,28
65,82	59,50	125,32	66,64	57,43	124,06
77,52	47,66	125,18	78,16	45,68	123,84
89,11	35,94	125,05	89,48	34,14	123,62
100,02	24,92	124,94	100,04	23,38	123,42
109,63	15,24	124,87	109,21	14,03	123,24
117,29	7,53	124,82	116,40	6,70	123,10
122,46	2,35	124,81	121,10	1,91	123,01
124,74	0,08	124,82	122,94	0,02	122,97
123,93	0,93	124,85	121,80	1,19	122,98
120,10	4,81	124,91	117,74	5,32	123,06
113,55	11,43	124,98	111,10	12,09	123,19
104,77	20,29	125,06	102,34	21,02	123,35
94,37	30,80	125,16	92,05	31,50	123,55
82,99	42,29	125,28	80,85	42,92	123,77
71,24	54,17	125,41	69,33	54,67	124,00
59,66	65,89	125,55	57,98	66,24	124,22
48,66	77,03	125,70	47,21	77,22	124,43
38,54	87,30	125,84	37,31	87,32	124,62
29,51	96,47	125,98	28,46	96,33	124,79
21,66	104,44	126,10	20,79	104,15	124,94
15,05	111,17	126,21	14,34	110,73	125,07
9,67	116,64	126,31	9,11	116,06	125,17
5,51	120,87	126,38	5,09	120,16	125,25
2,53	123,91	126,44	2,25	123,06	125,31
0,71	125,77	126,47	0,56	124,78	125,34
0,01	126,48	126,49	0,00	125,35	125,35
0,43	126,05	126,48	0,57	124,77	125,34
1,97	124,47	126,45	2,27	123,03	125,31
4,66	121,74	126,40	5,13	120,12	125,25
8,52	117,80	126,32	9,17	116,00	125,17
13,58	112,65	126,23	14,41	110,66	125,07
19,87	106,24	126,11	20,88	104,07	124,95
27,40	98,58	125,98	28,57	96,23	124,80
36,13	89,71	125,84	37,43	87,20	124,63
45,96	79,72	125,68	47,34	77,10	124,44
56,73	68,79	125,52	58,12	66,11	124,23
